Column Name,Data Type,Max Length,Nullable
id,bigint,N/A,NO
email_address,character varying,255,NO
status,character varying,15,YES
created_at,timestamp with time zone,N/A,YES
city,character varying,255,YES
state,character varying,255,YES
country,character varying,255,YES
form_name,character varying,255,YES
referrer_domain,text,N/A,YES
referrer_utm_source,character varying,255,YES
referrer_utm_medium,character varying,255,YES
referrer_utm_campaign,character varying,255,YES
referrer_utm_content,character varying,255,YES
referrer_utm_term,character varying,255,YES
purchase_power,character varying,50,YES
purchase_score,numeric,N/A,YES
ai_finance_club_status,character varying,100,YES
linkedin_url,text,N/A,YES
email_domain_type,character varying,255,YES
aifc_membership_status,character varying,255,YES
rightmessage_aifc_interest,character varying,255,YES
subscriber_region,character varying,255,YES
interest_copilot,character varying,255,YES
interest_in_corporate_workshop,character varying,255,YES
subscribe_to_ai_finance_accelerator_intermediate,character varying,255,YES
subscribe_to_ai_finance_fundamentals_beginner,character varying,255,YES
aifc_tool_interest,character varying,255,YES
aifc_professional_context,character varying,255,YES
aifc_current_ai_experience,character varying,255,YES
aifc_main_goal,character varying,255,YES
email_course_score,character varying,255,YES
set_email_course_score_to,character varying,255,YES
set,character varying,255,YES
course_hpfp,character varying,255,YES
linkedin_profile_url,character varying,255,YES
ultimate_finance_guides_bundle,character varying,255,YES
wharton_fp_a_program,character varying,255,YES
course_copilot,character varying,255,YES
gumroad_purchases_number,character varying,255,YES
refunded,character varying,255,YES
presentation_ai_course,character varying,255,YES
interview_pdf,character varying,255,YES
powerpoint_pdf,character varying,255,YES
chatgpt_pdf,character varying,255,YES
interest_powerpoint,character varying,255,YES
interest_accounting,character varying,255,YES
interest_fpa,character varying,255,YES
interest_ai,character varying,255,YES
interest_excel,character varying,255,YES
subscribed_date,character varying,255,YES
rh_partner_name,character varying,255,YES
course_create_presentations_with_ai,character varying,255,YES
course_prompt_engineering_for_finance,character varying,255,YES
webinar_aifc_selection,character varying,255,YES
ai_finance_club,character varying,255,YES
chatgpt_marketing_opt_out,character varying,255,YES
course_chatgpt,character varying,255,YES
course_chatgpt_cbc,character varying,255,YES
career_path,character varying,255,YES
rh_partner,character varying,255,YES
rh_source,character varying,255,YES
rh_isref,character varying,255,YES
rh_subid,character varying,255,YES
company,character varying,255,YES
sequence_chatgptforcfo,character varying,255,YES
full_name,character varying,255,YES
source_of_acquisition,character varying,255,YES
chatgpt,character varying,255,YES
products,character varying,255,YES
mailchimp_optin_time,character varying,255,YES
timezone,character varying,255,YES
current_position,character varying,255,YES
years_of_work_experience,character varying,255,YES
country_long,character varying,255,YES
last_name,character varying,255,YES
subscribe_to_python_powered_cfo_advanced,character varying,255,YES
course_python_in_excel_for_finance,character varying,255,YES
newsub_aug2024,character varying,255,YES
course_pvm_analysis,character varying,255,YES
course_python,character varying,255,YES
course_powerpoint,character varying,255,YES
mailchimp_opt_in_time,character varying,255,YES
first_name,character varying,255,YES
